,Planet Radius Value,Stellar Mass,Orbital Period Value,Star Radius Value,Effective Temperature Value,J mag,V mag,TIC Declination,Effective Stellar Flux Value,mass_flag,pl_masses,Ars,K_amp,TSM,Full TOI ID
15,15.581,1.23,3.52474859,1.19,6091,6.591,7.632,18.884319,740.3584493,1,232.0159,8.778143341,85.0724243,925.0057231,HD 209458 b
16,1.745,1.07,1.008035,1.1,5978,6.806,7.996,-59.864468,3418.379934,1,8.83,3.935030872,5.392582919,58.12695943,HD 213885 b
17,1.217,0.34,3.93072,0.34,3505,7.337,10.92,-21.660797,13.50400174,1,1.84,21.5224293,1.533174871,29.32088389,GJ 357 b
18,1.38,0.26,5.35882,0.28,3337,7.294,11.22,-16.593372,5.952523004,1,2.2,29.3838271,1.976975297,43.81664748,LTT 1445 A b
19,5.7,1.01,8.138268,0.96,5428,7.122,8.469,-69.195747,113.5567377,0,27.6784,17.7999881,8.756554468,285.8603658,DS Tuc A b
20,0.403,0.76,3.6001053,0.75,5046,7.244,8.88,41.634605,185.6308541,0,0.0375,12.0313926,0.018820637,21.57690969,Kepler-444 b
21,0.497,0.76,4.5458841,0.75,5046,7.244,8.88,41.634605,136.0126459,0,0.0795,14.05566299,0.036914965,17.66199235,Kepler-444 c
22,0.53,0.76,6.189392,0.75,5046,7.244,8.88,41.634605,90.13077711,0,0.1001,17.26650435,0.041936566,15.34810079,Kepler-444 d
23,0.546,0.76,7.743493,0.75,5046,7.244,8.88,41.634605,66.85818066,0,0.1114,20.04766068,0.043312609,13.99343092,Kepler-444 e
24,0.741,0.76,9.740486,0.75,5046,7.244,8.88,41.634605,49.23753085,0,0.3323,23.36107626,0.119686432,10.86278494,Kepler-444 f
25,12.33,1.41,21.21663,1.55,6040,7.08,8.172,71.753235,101.2662023,1,1115.5833,23.33931489,205.2962322,27.28346711,HD 17156 b
26,8.295,1.42,2.87589,1.41,6179,7.118,8.15,38.347309,1311.969484,1,120.7754,6.786111818,43.06383292,172.8713379,HD 149026 b
27,2.819,1.02,9.977481,1.83,5908,7.202,8.239,-18.011171,438.4675424,0,8.3621,10.73145814,2.455606587,47.36677121,K2-167 b
28,1.639,1.41,2.78578,1.9,6305,7.229,8.25,38.714016,2707.324958,1,5.08,4.918656297,1.839299907,21.78629333,Kepler-21 b
29,4.36,0.81,4.88780244,0.68,4780,7.608,,48.080856,78.33500197,1,17.5502,16.61974483,7.623797635,292.9936012,HAT-P-11 b
30,1.64,0.9,4.75615,0.86,5125,7.553,9.088,-27.635206,160.0680432,1,7.51,13.36539842,3.068858989,30.60928372,HD 15337 b
31,2.39,0.9,17.1784,0.86,5125,7.553,9.088,-27.635206,28.8847366,1,8.11,31.46299212,2.159975349,57.17752499,HD 15337 c
32,1.7,0.94,0.959624,0.87,5528,7.548,8.94,4.381469,1820.225762,0,3.5393,4.611263378,2.395423415,130.1081496,HD 3167 b
33,2.86,0.94,29.83832,0.87,5528,7.548,8.94,4.381469,18.61633713,0,8.5699,45.59691277,1.844518066,82.65690253,HD 3167 c
34,0.8,0.31,2.25314,0.31,3367,7.933,,-68.313,21.35199562,0,0.4372,15.79477649,0.466401726,35.93282788,L 98-59 b
35,1.35,0.31,3.690621,0.31,3367,7.933,,-68.313,11.05834437,0,2.3918,21.94763178,2.164550719,26.77570676,L 98-59 c
36,1.57,0.31,7.45086,0.31,3367,7.933,,-68.313,4.333919474,0,3.0916,35.05841695,2.2137261,170.9601081,L 98-59 d
37,14.258,1.46,5.5514926,1.51,6509,7.408,8.332,71.655876,756.7121511,1,1646.3594,9.915387171,462.8106446,42.81930012,KELT-24 b
38,1.577,0.61,1.2089819,0.6,4340,7.984,10.25,-1.286273,322.4901454,1,4.91,6.752548665,4.104927769,83.54539227,GJ 9827 b
39,1.241,0.61,3.6480957,0.6,4340,7.984,10.25,-1.286273,73.95846405,1,0.84,14.10041858,0.485983106,24.83395488,GJ 9827 c
40,2.022,0.61,6.2014698,0.6,4340,7.984,10.25,-1.286273,36.45440402,1,4.04,20.08403389,1.95845583,124.1021747,GJ 9827 d
41,,0.75,17.667,0.73,,7.865,9.724,-62.767075,,1,17.92,35.53873207,5.339411721,,HD 23472 b
42,,0.75,29.625,0.73,,7.865,9.724,-62.767075,,1,17.18,50.1609357,4.308704544,,HD 23472 c
43,11.994,1.15,111.4367,1.04,5561,7.702,9.001,50.603722,4.11033002,1,1392.0954,98.20055256,168.828155,15.06729281,HD 80606 b
44,15.132,1.54,4.11379,1.93,6327,7.669,8.713,30.957144,1588.317432,1,540.311,6.466562889,161.9818942,101.9000729,KELT-2 A b
45,19.515,1.76,3.4741085,1.56,8720,7.424,7.58,31.219225,4290.917574,1,1074.9011,7.473161567,311.886172,241.3432209,KELT-20 b
46,12.442,0.98,3.86814,0.86,4700,8.032,9.87,-5.094404,140.9081207,1,92.1707,11.98047928,38.12342914,772.1904159,WASP-69 b
47,17.856,1.5,1.21987,1.44,7430,7.581,8.142,37.550484,8654.380453,1,665.2182,3.820376137,304.356525,388.670894,WASP-33 b
48,21.196,2.52,1.4811235,2.36,10170,7.458,7.55,39.938828,44574.56136,1,915.3504,3.153877745,277.7839237,280.4346796,KELT-9 b
49,0.82,1.08,2.46502,1.23,6104,7.784,,48.423233,1401.500339,1,5,6.407357174,2.252498629,0.655201663,Kepler-408 b
50,17.934,1.76,2.73477,1.81,6768,7.739,8.54,33.318165,2884.011668,1,441.7837,5.491217948,138.8283486,265.1389367,KELT-7 b
51,,1.33,5.6335158,1.39,6380,7.796,8.72,41.048084,617.6463089,0,,10.54430404,,,HAT-P-2 b
52,2.03,0.69,6.00118,0.69,4716,8.324,10.26,-6.136875,64.68641563,0,4.7852,17.8027682,2.16025822,79.11802058,Wolf 503 b
53,7.398,1.16,11.8143,1.75,5576,8.091,9.376,10.129028,233.1054835,1,34.9613,13.11039489,8.906972248,114.0714683,HD 89345 b
54,,1.17,15.572098,1.34,6226,7.982,8.93,10.080378,146.159585,0,,20.64196655,,,HIP 41378 b
55,,1.17,31.70648,1.34,6226,7.982,8.93,10.080378,56.63602508,0,,33.16029136,,,HIP 41378 c
56,,1.17,1114,1.34,6226,7.982,8.93,10.080378,0.492164046,0,,355.7212242,,,HIP 41378 d
57,,1.17,,1.34,6226,7.982,8.93,10.080378,,0,,,,,HIP 41378 e
58,,1.17,1084,1.34,6226,7.982,8.93,10.080378,0.510408341,0,,349.3058341,,,HIP 41378 f
59,16.814,1.72,2.14878,2.1,7554,7.819,8.273,10.738873,8438.001416,1,1175.971,3.999269323,406.6594293,76.86832628,MASCARA-1 b
60,1.19,0.92,68.9584,0.89,5460,8.2,,46.852764,6.155695312,1,22,77.35585943,3.633168897,0.184766328,Kepler-409 b
61,12.89,1.13,3.21222,1.11,5302,8.293,9.732,50.128345,442.9079724,1,785.0401,8.599420498,314.1629517,71.45110118,HAT-P-22 b
62,2.44,1.09,9.55237,1.3,6327,8.116,8.951,-0.393484,295.0848053,1,12.6,15.0026761,3.591696942,23.6418384,HD 106315 b
63,4.35,1.09,21.05704,1.3,6327,8.116,8.951,-0.393484,102.856545,1,15.2,25.41125946,3.32923153,77.87625526,HD 106315 c
64,0.69,0.69,4.655411,0.67,4348.35,8.597,10.91,-11.578691,61.84512403,0,0.2574,15.47899436,0.126465963,8.05528387,K2-116 b
65,0.336,0.87,13.36731,0.79,5417,8.356,,44.518131,43.47630712,1,3.1783,28.65087138,0.941350223,0.055436689,Kepler-37 b
66,0.75,0.87,21.302,0.79,5417,8.356,,44.518131,23.35702366,1,12,39.08907637,3.04283779,0.139803517,Kepler-37 c
67,1.94,0.87,39.7922,0.79,5417,8.356,,44.518131,10.15268098,1,12.2,59.28895407,2.511875996,12.81500161,Kepler-37 d
68,,0.87,51.196,0.79,5417,8.356,,44.518131,7.255432408,0,,70.13462976,,,Kepler-37 e
69,4.57,0.54,3.3366496,0.55,3600,8.794,12.33,15.391492,35.94402643,1,13.9,13.91675965,8.985990264,310.4021358,GJ 3470 b
70,13.787,1.76,6.87188,1.52,6180,8.287,9.447,10.032566,413.904225,1,1093.3352,12.08574727,252.7184097,33.00679713,WASP-38 b
71,2.466,0.81,9.1205,0.72,5089,8.604,10.19,0.445516,49.11504784,1,12.7132,23.79052927,4.4858268,40.22956077,HIP 116454 b
72,7.062,1.19,5.44354,1.22,6050,8.35,,-20.982472,433.7464622,1,32.1008,11.31460154,10.409773,230.4974937,WASP-166 b
73,12.666,1.34,8.15872,1.03,5600,8.501,9.79,-35.031391,122.2443056,1,807.2882,18.26031322,211.349835,50.42340335,WASP-8 b
74,11.433,1.21,5.75251,1.64,6150,8.436,,-50.008003,768.9345712,1,772.3269,8.781162737,243.1694268,24.95018087,WASP-99 b
75,10.27,1.1,24.1396,1.34,,8.687,10.116,20.157103,,0,75.3051,27.08581899,15.66401511,,V1298 Tau b
76,5.59,1.1,8.24958,1.34,,8.687,10.116,20.157103,,0,26.7765,13.2396494,7.966457739,,V1298 Tau c
77,6.41,1.1,12.4032,1.34,,8.687,10.116,20.157103,,0,33.7919,17.37578457,8.775868145,,V1298 Tau d
78,8.74,1.1,60,1.34,,8.687,10.116,20.157103,,0,57.2432,49.6999661,8.790135043,,V1298 Tau e
79,2.39,1,15.387063,1.09,6058,8.423,9.543,11.753423,97.79809918,0,6.3158,23.89130205,1.626648219,41.53146443,K2-222 b
80,,1.22,0.94124,1.23,6400,8.409,9.303,-45.677887,5637.12566,1,3314.82,3.512186569,1897.741794,,WASP-18 b
81,2.838,1.21,17.833648,1.35,6273,8.417,9.5,45.139832,124.7650192,0,8.4582,22.68039657,1.826381462,36.64684772,Kepler-410 A b
82,4.71,0.92,6.03607,1.03,5527,8.557,,-56.903786,222.7423089,1,16.6,13.17722794,6.174218069,142.7711514,HD 219666 b
83,15.244,0.98,2.13775,1.42,5990,8.548,9.7,-1.075676,2234.731542,1,228.8376,4.886382423,115.3386541,330.1480113,WASP-74 b
84,20.512,1.46,1.809886,1.73,6250,8.541,9.5,2.700539,3763.079517,1,292.4036,4.099537135,119.4302262,484.6682265,WASP-76 b
85,1.247,0.4,3.36008,0.38,3386,9.099,12.62,-51.956233,16.24963119,0,2.0899,18.31043412,1.646466213,10.34386628,TOI 270 b
86,2.42,0.4,5.660172,0.38,3386,9.099,12.62,-51.956233,8.107186439,0,6.4512,25.9230033,4.271441729,136.5017572,TOI 270 c
87,2.13,0.4,11.38014,0.38,3386,9.099,12.62,-51.956233,3.194818512,0,5.1928,41.29498372,2.724141009,91.61442758,TOI 270 d
88,,0.18,1.628931,0.21,3270,9.245,13.49,-47.156727,19.30244529,1,1.66,15.66880328,2.834932388,,GJ 1132 b
89,1.58,0.87,12.6475,0.84,5213,8.967,10.801,-10.925379,45.38632694,0,3.1252,25.96925071,0.942860123,26.23302878,K2-65 b
90,11.198,0.58,3.06785234,0.59,4143,9.218,11.87,-2.144208,77.37496672,1,170.9925,12.56250122,108.3920506,321.4400757,WASP-80 b
91,1.589,0.93,2.225177,0.9,5520,8.765,10.014,21.54863,635.5278676,1,6.49,7.78139289,3.342348473,23.76336447,K2-291 b
92,0.99,0.74,7.975292,0.66,4499,9.096,,22.882721,32.02112294,0,0.9375,23.02821074,0.367410685,4.538067329,K2-136 b
93,2.91,0.74,17.307137,0.66,4499,9.096,,22.882721,11.39720535,0,8.8262,38.59928745,2.671743272,63.69988567,K2-136 c
94,1.45,0.74,25.575065,0.66,4499,9.096,,22.882721,6.771367014,0,2.7007,50.07722992,0.71773942,3.356404068,K2-136 d
95,1.569,1.09,4.72674,0.98,5669,8.771,,38.672354,276.150614,1,3.1783,12.45048861,1.14544393,31.89999376,Kepler-93 b
96,1.398,0.8,2.46746,0.74,4950,8.968,10.726,-20.231684,267.6242113,0,2.5381,9.642600755,1.396205082,6.771674198,K2-233 b
97,1.335,0.8,7.06142,0.74,4950,8.968,10.726,-20.231684,65.8672458,0,2.3468,19.43668219,0.909290368,4.491971719,K2-233 c
98,2.64,0.8,24.3662,0.74,4950,8.968,10.726,-20.231684,12.63208838,0,7.4796,44.38327118,1.917813172,47.83227756,K2-233 d
99,1.55,0.86,16.995731,0.78,5220,8.92,10.345,14.461936,26.73747775,0,3.025,33.92557957,0.833419477,26.56702489,K2-184 b
100,14.908,1.28,4.9546416,1.43,6400,8.648,9.51,-39.225273,805.8798854,1,305.1168,9.289049513,97.25365008,169.0040585,WASP-7 b
101,1.51,0.71,0.2803244,0.68,4599,9.086,11.389,-1.189274,3313.746999,1,5.08,2.365449241,6.247721995,59.48554493,K2-141 b
102,7,0.71,7.7485,0.68,4599,9.086,11.389,-1.189274,39.65004635,1,7.4,21.62476802,3.010029777,1228.047311,K2-141 c
103,15.468,1.49,1.36003,1.09,5365,8.766,10.3,-7.060681,1171.235936,1,727.8307,5.414567173,322.5823086,141.6412726,WASP-77 A b
104,2.63,1,16.9841,1.09,5725,8.73,9.917,-9.946078,68.38059785,1,24.5,25.51708281,6.10570413,11.32566449,HD 119130 b
105,11.209,1.19,11.168454,1.16,6154,8.739,9.899,18.654535,161.0244694,1,126.4963,19.21390032,32.28241471,168.8260168,K2-232 b
106,6.277,0.66,4.60543,2.97,4881,9.082,10.83,-9.022769,2016.167343,1,28.6047,3.415865918,14.52898344,32.1253104,K2-39 b
107,11.769,0.99,10.33852,0.87,5246,9.017,10.54,30.488716,59.9356209,1,184.3414,22.88550794,54.57123865,163.8280088,HAT-P-17 b
108,2.18,0.6,10.05449,0.56,3896,9.421,12.17,-1.454787,10.94726428,0,5.4017,29.5346333,2.253686286,51.00017545,K2-3 b
109,1.85,0.6,24.64354,0.56,3896,9.421,12.17,-1.454787,3.312695667,0,4.0865,53.69002601,1.264542671,30.5573238,K2-3 c
110,1.51,0.6,44.55983,0.56,3896,9.421,12.17,-1.454787,1.503814602,0,2.8934,79.68695567,0.734926068,19.26314477,K2-3 d
111,13.787,1.46,2.18467,1.23,5830,8.936,,-48.003086,1120.562444,1,457.6752,6.536805547,175.5674676,114.554021,WASP-95 b
112,13.675,1.06,5.322023,1.53,6030,8.895,10.1,-30.583567,749.4002871,1,85.8141,8.551143303,30.2863086,355.0819152,WASP-131 b
113,,1.08,5.3988,1.24,5793,8.975,9.99,49.040272,406.2686518,1,7.65,10.71881779,2.653772579,,Kepler-68 b
114,,1.08,9.6051,1.24,5793,8.975,9.99,49.040272,188.4547598,1,2.04,15.73801625,0.584024255,,Kepler-68 c
115,16.141,1.43,4.12688,1.56,6801,8.825,,-76.304061,1449.400704,1,371.8611,7.821639646,117.0037986,157.85854,HD 2685 b
116,9.718,0.76,2.875317,0.69,4595,9.276,11.339,24.33663,145.7979859,1,2302.899,11.25749485,1245.721909,13.01083266,HAT-P-20 b
117,0.869,0.74,2.080615,0.71,4720,9.263,11.205,1.383812,269.3038506,0,0.5879,8.73995514,0.360580516,6.6690684,K2-209 b
118,15.468,1.62,2.24375,1.4,6475,8.869,9.75,21.894714,1988.873598,1,2809.6172,6.052327803,996.6962824,24.21367228,WASP-14 b
119,10.536,0.69,5.72149,0.66,4430,9.378,11.471,-10.146149,49.10878346,1,38.1396,18.02911265,17.49407065,795.358036,WASP-107 b
120,15.356,1.08,4.178062,1.39,5620,9.092,10.15,-3.835064,636.4444493,1,57.2094,8.060070998,21.61608866,801.1005709,WASP-127 b
121,17.094,1.64,3.0801716,1.65,7454,8.745,9.286,13.735319,3154.261136,1,416.3573,6.369076161,131.814291,188.6388051,KELT-17 b
122,17.486,1.96,2.70339,1.7,6304,8.963,9.873,40.388069,1810.012859,1,616.5902,6.013648871,181.0395743,101.1129952,KELT-3 b
123,2.07,1.02,6.326763,0.97,5741,9.081,10.364,-15.93782,201.6288955,0,4.9466,14.9432546,1.690817265,38.50182102,K2-277 b
124,19.044,1.2,2.9895932,1.6,6206,9.017,9.98,25.573189,1826.35308,1,286.6827,5.801999133,112.8912998,310.0550798,KELT-4 A b
125,13.899,1.09,2.6556777,0.94,6112,9.275,10.72,6.563726,740.4667921,1,402.055,8.838130009,175.6008163,176.4393647,WASP-85 A b
126,18.159,1.48,2.70579,2.1,6480,9.046,10.1,1.893921,3714.268861,1,371.8611,4.435676152,131.6311758,141.7536922,WASP-82 b
127,11.882,1.29,10.02165,1.22,6040,9.143,10.15,-50.284519,180.9630686,1,95.349,17.45924218,23.90711162,206.1768626,WASP-117 b
128,2.847,0.15,1.58040456,0.22,3026,9.75,15.1,4.96392,18.26433382,1,6.2613,13.79375212,12.19732978,630.0502873,GJ 1214 b
129,8.631,0.77,3.92273,0.79,4800,9.353,,-39.906719,149.0992335,1,73.1009,12.14762166,35.34407488,212.610591,WASP-29 b
130,15.805,0.58,3.19154,1.54,6429,9.013,9.8,57.817181,2899.773507,1,2316.9807,4.941414673,1449.508747,26.62074839,XO-3 b
131,11.209,0.96,4.31768,0.91,5700,9.172,10.4,-23.860636,298.8377335,1,177.9848,12.09980809,71.95082744,186.4246623,WASP-34 b
132,15.468,1.41,5.215357,2.21,6260,9.016,9.98,-8.926325,1542.61802,1,479.9233,6.423414593,140.9878204,49.89078144,WASP-136 b
133,1.727,0.18,24.736959,0.21,3216,9.612,14.18,-15.271532,0.480205709,1,6.98,96.08706073,4.813660977,58.48198885,LHS 1140 b
134,1.282,0.18,3.777931,0.21,3216,9.612,14.18,-15.271532,5.882343325,1,1.81,27.45385804,2.335228674,26.02554678,LHS 1140 c
135,5.76,1.17,19.49221,1.39,6069,9.144,10.154,19.402252,105.2593745,0,28.1756,23.1126834,6.040127255,53.44898613,EPIC 211945201 b
136,15.917,2.65,4.62767,1.82,6600,9.094,9.98,38.242165,995.4957518,1,1093.3352,8.888217088,219.4753773,30.4233472,HAT-P-14 b
137,1.04,0.36,8.239493,0.36,3459.09,9.697,13.63,-25.644964,5.153292346,0,1.1183,33.93343474,0.700874639,7.119069714,K2-129 b
138,10.559,0.84,8.5234865,0.75,5314,9.346,10.83,1.860033,67.68630669,1,220.565,22.09729834,77.6953747,117.8810641,WASP-84 b
139,14.785,1.15,4.46529976,1.17,5980,9.156,10.34,38.674953,507.3158043,1,166.8608,10.22138295,59.13656194,317.4440112,HAT-P-1 b
140,11.882,0.91,1.25785,0.78,5280,9.318,10.775,-23.547865,867.4147704,1,563.8304,6.093978622,356.3103673,116.4386744,K2-31 b
141,2.67,1,16.2385,1.02,5690,9.26,,40.525141,62.03300896,1,8.46,26.46425039,2.140123867,29.96409,Kepler-96 b
142,17.71,1.67,3.95019,1.48,6170,9.159,10.1,-34.135555,844.7543635,1,158.915,8.432407658,45.75077271,406.1248557,WASP-94 A b
143,9.528,1.1,11.63344,1.65,5537,9.337,10.612,0.493352,213.0891341,1,70.8761,13.52118897,18.80409722,74.48819825,K2-261 b
144,3.3,0.69,0.658524,0.7,4285,9.611,11.808,0.937571,863.7190514,0,10.9302,4.022183599,10.30675682,155.2145691,K2-266 b
145,0.705,0.69,7.814,0.7,4285,9.611,11.808,0.937571,31.91318134,0,0.278,20.92488551,0.114931247,3.872436984,K2-266 c
146,2.93,0.69,14.697,0.7,4285,9.611,11.808,0.937571,13.74557938,1,8.9,31.88354591,2.980791267,47.38918774,K2-266 d
147,2.73,0.69,19.482,0.7,4285,9.611,11.808,0.937571,9.439665182,1,14.3,38.47422187,4.359894507,21.37850219,K2-266 e
148,2.37,0.36,32.939623,0.41,3457,9.763,13.496,7.588391,1.050929017,1,8.92,75.05135806,3.522417496,35.20368444,K2-18 b
149,23.371,1.64,4.8101025,2.55,6406,9.145,10.069,44.776981,2268.268227,1,108.0622,5.54719141,29.48788651,595.6771231,HAT-P-67 b
150,14.83,0.94,2.255251,1,5899,9.208,10.253,66.358762,998.0136657,1,298.1245,7.091449852,151.7625638,283.8046492,KELT-23 A b
151,14.796,1.11,4.41195,1.23,6230,9.272,10.3,-63.988434,687.1859934,1,165.2716,9.532030684,60.2129496,297.2368751,WASP-62 b
152,14.796,1.49,5.0843,1.79,5910,9.341,10.7,-19.31468,801.6624964,1,343.2564,7.941922892,98.02449016,68.03239388,WASP-68 b
153,15.693,1.27,3.07634,1.57,6200,9.214,10.3,35.447109,1623.625226,1,406.8224,6.141676989,152.7946389,112.6016639,HAT-P-8 b
154,20.961,1.89,2.74432452,1.86,8450,9.068,,9.997979,7024.232606,1,2154.8874,5.4847958,644.9936032,55.67302809,HAT-P-70 b
155,14.258,1.22,2.91625,1.56,5653,9.328,10.622,47.352051,1221.969127,1,270.462,5.885377735,106.2124193,113.7090513,HAT-P-13 b
156,2.755,0.87,4.65382,0.85,5282,9.466,10.892,-66.675819,185.7692436,0,8.0419,13.17820852,3.385788482,60.60849094,TOI 125 b
157,2.79,0.87,9.15067,0.85,5282,9.466,10.892,-66.675819,75.41355202,0,8.2164,20.68324056,2.761223906,49.1787246,TOI 125 c
158,8.449,0.69,228.776,0.65,4450,9.815,,51.757439,0.354694726,1,105.833,214.0617857,14.19608996,36.32799185,Kepler-16 b
159,15.917,2.52,4.08722,2.55,6030,9.352,10.5,-58.148876,1661.676764,1,908.9938,5.742590373,196.668621,18.81432329,WASP-73 b
160,12.778,1.18,2.07276,1.08,5640,9.407,,-55.772083,935.4312648,1,432.2488,6.69574268,194.4822493,96.3762254,WASP-97 b
161,17.71,1.08,3.69364,1.76,6100,9.365,10.42,-0.128076,1669.132206,1,187.5197,5.863552113,73.82385584,262.4313601,WASP-54 b
162,1.14,0.87,0.58426,0.79,5315,9.518,10.985,-6.721861,2617.063146,0,1.5534,3.555051731,1.306127574,7.225967106,K2-229 b
163,2.03,0.87,8.32727,0.79,5315,9.518,10.985,-6.721861,75.73306714,0,4.7852,20.898266,1.65947314,36.22743008,K2-229 c
164,18.719,1.43,3.66238,1.6,6600,9.299,10.1,-30.600445,1585.654127,1,270.1555,7.042553061,88.45434506,264.8840866,WASP-79 b
165,16.029,1.41,3.58572,1.31,6380,9.334,,-23.48621,963.7078226,1,162.0933,8.441413084,53.95239334,359.2589333,WASP-101 b
166,14.572,1.42,7.8457,1.73,6102,9.302,10.418,30.640051,492.7740667,1,165.2716,10.79858801,42.17411259,130.2682592,KELT-6 b
167,13.675,0.72,4.35301,1.37,5950,9.442,10.42,33.882439,963.6864761,1,114.4188,7.341968842,55.88085211,274.9394261,WASP-13 b
168,1.303,0.15,0.46292913,0.19,3036,10.046,15.26,-69.168986,70.95811494,0,2.252,7.044480762,6.605715938,40.9424225,LHS 3844 b
169,16.141,1.55,2.8106,1.31,6304,9.442,10.419,5.836719,1193.316207,1,263.7989,7.40629706,89.406553,226.2425173,HAT-P-30 b
170,16.141,0.9,2.2359835,0.87,5260,9.609,11.1,-20.451092,497.2365,1,775.5052,7.98797093,407.5529368,129.8130763,WASP-140 b
171,18.159,0.81,3.24406,1.46,5754,9.586,10.833,24.12738,1309.718443,1,209.7678,5.889755025,104.4647338,312.4174874,KELT-8 b
172,5.4,1.07,20.88977,1.16,5625,9.635,11.07,-24.990332,52.35281122,1,19,28.15279629,4.224452003,62.81397835,K2-24 b
173,7.5,1.07,42.3391,1.16,5625,9.635,11.07,-24.990332,20.41092667,1,15.4,45.08791786,2.705628586,164.0674281,K2-24 c
174,3.59,1.23,1.673833,1.22,6168,9.463,10.651,20.106064,2208.575231,0,12.6129,5.211696528,5.927770121,77.17888662,K2-100 b
175,9.494,1.06,14.893291,1.07,5695,9.677,11.41,-22.358261,73.94673044,1,100.1164,24.28144099,25.07388367,81.41684046,K2-287 b
176,2.025,0.29,5.746007,0.31,3348,10.058,13.823,21.076048,6.263440699,0,4.7652,28.83439885,3.88995223,98.07450114,G 9-40 b
177,10.088,0.76,1.7690381,0.68,4900,9.843,,-58.83614,349.9275639,1,282.8687,8.263224864,179.9066795,116.9544195,WASP-145 A b
178,2.038,1.09,9.525988,1.42,5909,9.563,10.836,17.584192,268.8455967,0,4.8173,13.70954381,1.374463469,15.15270585,K2-175 b
179,21.409,1.62,4.6117093,1.83,7500,9.343,9.885,7.615806,2340.75509,1,1293.5681,7.484986587,360.9185163,68.33548209,KELT-19 A b
180,1.71,1.24,7.81254,1.58,6225,9.518,,50.033718,490.0444251,0,3.5748,11.26957331,0.999901128,11.55749128,Kepler-50 b
181,2.17,1.24,9.37647,1.58,6225,9.518,,50.033718,384.2135115,0,5.3596,12.72737624,1.410658801,14.82375099,Kepler-50 c
182,17.598,1.52,2.8717518,1.91,6670,9.454,10.117,59.444275,3129.77507,1,375.0394,5.119665565,127.8545103,122.7818551,KELT-18 b
183,11.904,0.82,3.506195,0.72,5052,9.712,11.438,22.152611,169.2631252,1,212.3104,12.62966974,102.1881481,202.2985084,Qatar-6 b
184,4.189,0.8,17.0428683,0.76,5212.9,9.741,10.971,-6.464886,26.39545601,0,16.3962,34.05184837,4.736085169,63.52615652,K2-198 b
185,1.423,0.8,3.3596055,0.76,5212.9,9.741,10.971,-6.464886,230.0744408,0,2.6158,11.53376472,1.298271829,4.431139609,K2-198 c
186,2.438,0.8,7.4500177,0.76,5212.9,9.741,10.971,-6.464886,79.56273074,0,6.533,19.61328934,2.486474917,45.37545413,K2-198 d
187,15.39,1.41,2.8641424,1.48,6250,9.557,10.52,85.233217,1528.525192,1,225.3415,6.432358214,80.83772587,181.4800945,XO-7 b
188,23.203,1.47,3.7650007,1.93,6720,9.471,10.25,73.827682,2346.360416,1,1398.452,6.001885034,445.4149995,68.24620669,XO-6 b
