# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Nov 20 13:33:40 2019
#
# User preference: *
#
# CONSTRAINT:  where (koi_disposition like '%CANDIDATE%'
# CONSTRAINT:  and koi_prad_str < 25
# CONSTRAINT:  and koi_gmag < 14)
# CONSTRAINT:  order by koi_insol desc, koi_disposition desc
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_vet_stat:   Vetting Status
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
# COLUMN koi_gmag:       g'-band [mag]
# COLUMN koi_jmag:       J-band [mag]
# COLUMN koi_kmag:       K-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag,koi_gmag,koi_jmag,koi_kmag
9043947,K07920.01,,CANDIDATE,Done,CANDIDATE,0.8690,0,0,0,0,1.043478580,1.0710000e-05,-1.0710000e-05,131.8424000,9.130000e-03,-9.130000e-03,0.4970,0.0000,-0.4710,2.01200,0.30600,-0.30600,2.2500e+01,3.400e+00,-3.400e+00,1.09,2.000e-01,-3.900e-01,2688.0,,,12313.82,7298.71,-7905.69,8.60,1,q1_q17_dr25_tce,6014.00,200.00,-182.00,3.843,0.300,-0.100,2.2460,0.4090,-0.8170,1.2810,0.1920,-0.2650,298.252040,45.396641,13.292,13.788,12.088,11.737
5897826,K00126.02,,CANDIDATE,Done,CANDIDATE,0.9970,0,0,0,0,0.875197345,,,131.8135915,,,1.0040,,,0.05200,,,0.0000e+00,,,0.73,1.100e-01,-1.700e-01,2518.0,,,9497.39,4250.51,-4369.96,0.00,3,q1_q17_dr25_tce,5855.00,117.00,-117.00,3.999,0.196,-0.084,1.7960,0.2810,-0.4220,1.1740,0.1330,-0.1330,297.475860,41.114288,13.109,13.585,11.977,11.635
6057750,K06657.01,,CANDIDATE,Done,CANDIDATE,0.1840,0,0,0,0,1.603705800,2.5910000e-05,-2.5910000e-05,131.9529000,1.840000e-02,-1.840000e-02,0.7290,0.2280,-0.4830,9.06700,0.78400,-0.78400,3.2800e+01,2.000e+00,-2.000e+00,1.54,3.700e-01,-3.300e-01,2492.0,,,9138.09,5555.35,-3791.05,22.40,1,q1_q17_dr25_tce,6400.00,76.00,-76.00,3.877,0.165,-0.135,2.5120,0.5990,-0.5440,1.7320,0.1720,-0.1900,296.104000,41.369270,13.700,13.952,12.809,12.557
5444276,K07559.01,,CANDIDATE,Done,CANDIDATE,,0,0,0,0,0.708965461,8.7030000e-06,-8.7030000e-06,132.2098800,9.860000e-03,-9.860000e-03,0.6201,0.3426,-0.3945,3.94600,0.50700,-0.50700,8.7200e+01,8.500e+00,-8.500e+00,1.13,6.000e-01,-1.300e-01,2417.0,,,8061.29,12686.44,-2526.35,13.10,1,q1_q17_dr24_tce,6528.00,155.00,-217.00,4.384,0.063,-0.063,1.1550,0.6130,-0.1310,1.1770,0.2520,-0.1680,290.485530,40.630699,12.798,13.068,11.881,11.593
8566113,K07061.01,,CANDIDATE,Done,CANDIDATE,,0,0,0,0,1.371587993,6.9640000e-06,-6.9640000e-06,131.8050600,3.680000e-03,-3.680000e-03,0.9829,0.0091,-0.0087,12.90100,0.77800,-0.77800,4.5610e+02,4.990e+01,-4.990e+01,4.91,2.800e+00,-1.090e+00,2413.0,,,8016.36,14023.82,-3885.33,43.30,2,q1_q17_dr24_tce,7045.00,194.00,-278.00,4.154,0.148,-0.148,1.6040,0.9150,-0.3560,1.3410,0.2900,-0.2530,294.201450,44.639839,13.104,13.304,12.208,11.925
8197406,K05486.01,,CANDIDATE,Done,CANDIDATE,1.0000,0,0,0,0,4.154722420,1.2190000e-05,-1.2190000e-05,132.6108900,2.410000e-03,-2.410000e-03,0.9710,0.0130,-0.6800,1.79100,0.12900,-0.12900,2.2430e+03,1.230e+02,-1.230e+02,23.47,2.690e+00,-8.100e+00,2292.0,,,6522.18,2492.33,-4074.55,19.70,1,q1_q17_dr25_tce,6996.00,188.00,-230.00,3.627,0.298,-0.053,3.3590,0.3860,-1.1590,1.7420,0.2070,-0.2850,300.941860,44.023651,12.572,12.769,11.742,11.463
3660581,K07662.01,,CANDIDATE,Done,CANDIDATE,0.9840,0,0,0,0,4.725191640,6.8870000e-05,-6.8870000e-05,131.9997000,1.020000e-02,-1.020000e-02,0.6000,0.0400,-0.4710,3.75100,0.34000,-0.34000,9.8800e+01,1.190e+01,-1.190e+01,3.98,5.700e-01,-1.690e+00,2250.0,,,6060.79,2623.51,-4285.29,10.00,2,q1_q17_dr25_tce,6655.00,160.00,-200.00,3.490,0.376,-0.094,3.8310,0.5420,-1.6270,1.6530,0.2190,-0.4380,295.144200,38.799831,12.358,12.578,11.465,11.211
9109857,K02833.01,,CANDIDATE,Done,CANDIDATE,0.9610,0,0,0,0,1.791877025,8.2990000e-06,-8.2990000e-06,132.8762000,3.280000e-03,-3.280000e-03,0.4030,0.0480,-0.4030,1.16600,0.13000,-0.13000,4.6100e+01,4.800e+00,-4.800e+00,1.48,2.300e-01,-4.100e-01,2223.0,,,5787.99,2479.54,-3016.26,12.50,1,q1_q17_dr25_tce,6002.00,119.00,-131.00,3.841,0.217,-0.093,2.1390,0.3190,-0.5920,1.1560,0.1150,-0.1720,298.215270,45.406891,12.599,13.042,11.428,11.123
5716763,K00272.01,,CANDIDATE,Done,CANDIDATE,0.0000,0,0,0,0,1.281328310,2.3200000e-07,-2.3200000e-07,169.6659530,1.480000e-04,-1.480000e-04,0.9260,0.0060,-0.6100,0.91570,0.02500,-0.02500,5.2550e+02,3.700e+00,-3.700e+00,4.52,9.500e-01,-1.430e+00,2215.0,,,5673.71,3604.53,-3257.31,196.40,1,q1_q17_dr25_tce,5918.00,163.00,-133.00,3.978,0.322,-0.138,1.5960,0.3370,-0.5060,0.8810,0.1300,-0.0740,295.101140,40.986679,12.107,12.506,11.071,10.655
5096053,K04331.01,,CANDIDATE,Done,CANDIDATE,0.9070,0,0,0,0,1.717859841,8.5260000e-06,-8.5260000e-06,132.9261200,4.340000e-03,-4.340000e-03,0.3500,0.1040,-0.3500,0.90800,0.14800,-0.14800,6.6300e+01,9.000e+00,-9.000e+00,1.45,4.300e-01,-4.700e-01,2212.0,,,5645.85,4932.26,-3445.68,9.50,1,q1_q17_dr25_tce,6694.00,188.00,-259.00,4.084,0.252,-0.168,1.7320,0.5110,-0.5620,1.3330,0.1850,-0.2540,290.813660,40.254875,13.228,13.771,12.183,11.938
8007675,K06949.01,,CANDIDATE,Done,CANDIDATE,0.1260,0,0,0,0,2.352446342,,,131.9380482,,,0.7550,,,1.68020,,,3.2500e+01,,,1.24,2.800e-01,-3.500e-01,2173.0,,,5269.29,3512.39,-2848.99,7.20,1,q1_q17_dr25_tce,6749.00,169.00,-203.00,3.941,0.247,-0.114,2.0030,0.4580,-0.5600,1.2800,0.2240,-0.2040,282.154850,43.867352,12.047,12.234,11.192,10.990
7134626,K07818.01,,CANDIDATE,Done,CANDIDATE,0.9990,0,0,0,0,2.524439980,2.0920000e-05,-2.0920000e-05,133.7701200,7.160000e-03,-7.160000e-03,0.2320,0.2210,-0.2320,2.36900,0.19800,-0.19800,4.5800e+01,5.000e+00,-5.000e+00,1.53,2.800e-01,-5.300e-01,2145.0,,,4998.98,2807.79,-3063.75,10.60,1,q1_q17_dr25_tce,6461.00,176.00,-176.00,3.846,0.300,-0.100,2.2250,0.4100,-0.7620,1.2660,0.2330,-0.2100,296.401490,42.651058,13.063,13.397,12.066,11.762
11013201,K00972.02,,CANDIDATE,Done,CANDIDATE,0.0000,0,0,0,0,7.821873280,2.2420000e-05,-2.2420000e-05,123.4990700,2.480000e-03,-2.480000e-03,0.0050,0.3970,-0.0050,3.84170,0.07070,-0.07070,4.2200e+01,1.300e+00,-1.300e+00,2.78,1.500e-01,-8.400e-01,2101.0,,,4601.71,836.19,-2569.52,37.20,2,q1_q17_dr25_tce,7221.00,114.00,-171.00,3.488,0.272,-0.048,4.2400,0.2270,-1.2840,2.0180,0.0290,-0.2480,282.000310,48.542221,9.275,9.265,8.816,8.736
8396660,K04407.01,,CANDIDATE,Done,CANDIDATE,1.0000,0,0,0,0,1.338070750,1.0680000e-05,-1.0680000e-05,132.3475600,6.760000e-03,-6.760000e-03,0.0030,0.4580,-0.0030,1.42500,0.21100,-0.21100,2.0200e+01,2.700e+00,-2.700e+00,0.60,9.000e-02,-7.000e-02,2008.0,,,3844.97,1757.00,-1030.40,8.50,1,q1_q17_dr25_tce,6355.00,115.00,-127.00,4.299,0.063,-0.117,1.3190,0.2170,-0.1440,1.2690,0.0900,-0.1170,301.156560,44.379532,11.179,11.502,10.150,9.778
7051180,K00064.01,,CANDIDATE,Done,CANDIDATE,1.0000,0,0,0,0,1.951082219,3.8880000e-06,-3.8880000e-06,157.5431600,1.590000e-03,-1.590000e-03,0.9250,0.0290,-0.7210,1.69750,0.05340,-0.05340,1.1518e+03,4.580e+01,-4.580e+01,10.35,7.700e-01,-1.250e+00,2005.0,,,3822.26,832.84,-1056.73,30.10,1,q1_q17_dr25_tce,5302.00,71.00,-87.00,3.768,0.060,-0.045,2.4260,0.1810,-0.2930,1.2580,0.0700,-0.1510,296.510590,42.547440,13.143,13.791,11.759,11.230
3561464,K03398.03,,CANDIDATE,Done,CANDIDATE,0.9940,0,0,0,0,4.327105790,6.0450000e-05,-6.0450000e-05,131.5891000,1.250000e-02,-1.250000e-02,0.0250,0.4260,-0.0250,3.87200,0.31400,-0.31400,8.4100e+01,1.000e+01,-1.000e+01,3.58,6.200e-01,-1.250e+00,2004.0,,,3805.87,1760.47,-2272.59,9.50,3,q1_q17_dr25_tce,5745.00,86.00,-77.00,3.499,0.259,-0.129,3.9550,0.6880,-1.3760,1.8010,0.1930,-0.3590,295.498110,38.644501,13.489,13.786,12.556,12.289
11551652,K07455.01,,CANDIDATE,Done,CANDIDATE,,0,0,0,0,3.773744000,1.8330000e-04,-1.8330000e-04,131.8309000,3.240000e-02,-3.240000e-02,0.9606,0.0188,-0.6664,15.20000,2.30000,-2.30000,8.5200e+01,1.020e+01,-1.020e+01,2.44,8.200e-01,-8.100e-01,2001.0,,,3791.11,3898.65,-2362.11,5.70,2,q1_q17_dr24_tce,7302.00,232.00,-309.00,3.965,0.248,-0.248,2.0690,0.6990,-0.6840,1.4400,0.2480,-0.3270,287.575010,49.551167,11.419,11.635,10.771,10.639
10066755,K07281.01,,CANDIDATE,Done,CANDIDATE,,0,0,0,0,2.465065010,5.7620000e-05,-5.7620000e-05,132.8845000,1.800000e-02,-1.800000e-02,0.6323,0.3373,-0.4099,6.21800,0.56800,-0.56800,3.9800e+01,4.500e+00,-4.500e+00,1.14,5.800e-01,-3.000e-01,1999.0,,,3777.82,5853.10,-2070.96,10.30,1,q1_q17_dr24_tce,6881.00,199.00,-296.00,4.101,0.186,-0.186,1.7140,0.8710,-0.4560,1.3560,0.2710,-0.2780,288.219760,47.041279,12.446,12.641,11.567,11.309
10319385,K01169.01,,CANDIDATE,Done,CANDIDATE,1.0000,0,0,0,0,0.689210173,4.5000000e-07,-4.5000000e-07,133.2858400,5.200000e-04,-5.200000e-04,0.1540,0.2710,-0.1540,1.61690,0.01790,-0.01790,1.9500e+02,2.400e+00,-2.400e+00,1.32,1.900e-01,-6.000e-02,1943.0,,,3362.71,1364.69,-528.86,93.40,1,q1_q17_dr25_tce,5630.00,100.00,-122.00,4.505,0.023,-0.128,0.9540,0.1380,-0.0390,1.0640,0.0420,-0.0730,281.551180,47.469959,13.248,13.661,12.103,11.715
2852941,K04298.01,,CANDIDATE,Done,CANDIDATE,0.8540,0,0,0,0,2.894947090,2.2510000e-05,-2.2510000e-05,132.6254700,5.800000e-03,-5.800000e-03,0.1910,0.2660,-0.1910,3.25400,0.17900,-0.17900,4.5800e+01,3.800e+00,-3.800e+00,1.16,3.400e-01,-2.800e-01,1919.0,,,3204.25,2992.58,-1774.80,14.30,1,q1_q17_dr25_tce,7087.00,250.00,-428.00,4.137,0.170,-0.187,1.6840,0.5010,-0.4100,1.4180,0.2090,-0.2550,291.543430,38.048759,13.458,13.659,12.402,12.159
9459162,K04818.01,,CANDIDATE,Done,CANDIDATE,0.9980,0,0,0,0,3.798927740,9.9150000e-05,-9.9150000e-05,133.2890000,2.130000e-02,-2.130000e-02,0.1300,0.3250,-0.1300,4.11200,0.63500,-0.63500,4.7000e+01,7.100e+00,-7.100e+00,1.46,3.200e-01,-3.900e-01,1869.0,,,2888.60,1834.90,-1537.68,8.30,1,q1_q17_dr25_tce,6831.00,163.00,-225.00,3.971,0.228,-0.123,2.1060,0.4630,-0.5660,1.5110,0.1830,-0.2520,289.348300,46.054680,13.008,13.217,12.129,11.910
5195172,K01671.01,,CANDIDATE,Done,CANDIDATE,0.9790,0,0,0,0,1.480283464,6.1720000e-06,-6.1720000e-06,134.3725400,3.250000e-03,-3.250000e-03,0.0580,0.3920,-0.0580,2.48600,0.10800,-0.10800,6.0500e+01,3.300e+00,-3.300e+00,0.97,1.600e-01,-1.700e-01,1822.0,,,2597.27,1166.42,-977.20,21.30,1,q1_q17_dr25_tce,5897.00,105.00,-117.00,4.250,0.156,-0.104,1.2590,0.2040,-0.2240,1.0260,0.0930,-0.0690,294.113070,40.362968,13.522,13.925,12.471,12.134
