# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Nov 20 13:39:49 2019
#
# User preference: *
#
# CONSTRAINT:  where (k2c_disp like '%CANDIDATE%'
# CONSTRAINT:  and pl_radestr < 25
# CONSTRAINT:  and st_vjstr < 14)
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_j2:          J-band (2MASS) [mag]
# COLUMN st_k2:          Ks-band (2MASS) [mag]
#
epic_name,epic_candname,pl_name,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_tranmid,pl_trandur,pl_ratdor,pl_ratror,pl_rade,pl_eqt,st_teff,st_logg,st_rad,st_kep,st_vj,st_j2,st_k2
EPIC 213919915,EPIC 213919915.01,,CANDIDATE,,7,1,19h32m18.86s,293.078583,-27d53m04.5s,-27.884588,1.48915400,2457302.444000,0.0630000,6.500000,0.00724,1.900,,,,2.40,9.261,10.075,8.211,7.830
EPIC 212303338,EPIC 212303338.01,,CANDIDATE,,6,1,13h31m50.12s,202.958832,-17d25m50.5s,-17.430704,0.59562100,2457218.392530,,4.717778,0.00619,0.583,,5338.00,4.51,0.86,9.957,10.127,8.465,7.912
EPIC 204308061,EPIC 204308061.01,,CANDIDATE,,2,1,16h29m43.24s,247.430161,-22d50m51.3s,-22.847593,22.63980000,2456900.442800,0.1560000,40.800000,0.01350,1.270,,,,0.86,10.041,10.165,8.953,8.590
EPIC 213920015,EPIC 213920015.01,,CANDIDATE,,7,1,19h32m18.89s,293.078705,-27d53m03.4s,-27.884281,1.48918400,2457311.378890,0.0608000,,0.01040,1.000,,,,0.87,10.021,10.174,8.211,7.830
EPIC 229004835,EPIC 229004835.01,,CANDIDATE,,10,0,12h25m56.78s,186.486603,-01d24m16.5s,-1.404572,16.14044200,2457597.624690,,50.481014,0.01937,2.060,,5870.00,4.40,0.98,10.151,10.230,9.061,8.725
EPIC 229004835,EPIC 229004835.01,,CANDIDATE,,10,1,12h25m56.78s,186.486603,-01d24m16.5s,-1.404572,16.13655000,2457597.629400,0.0875000,54.600000,0.01840,2.020,739,,,,10.151,10.230,9.061,8.725
EPIC 202600948,EPIC 202600948.01,,CANDIDATE,,2,1,16h31m55.05s,247.979370,-29d03m50.7s,-29.064095,5.98950000,2456899.219900,0.0770000,20.800000,0.01820,2.040,,,,1.03,10.300,10.435,9.352,9.004
EPIC 211539054,EPIC 211539054.01,,CANDIDATE,,5,1,08h12m32.67s,123.136139,+13d41m18.5s,13.688463,11.02130000,2457150.291600,0.1800000,17.000000,0.01371,2.250,,,,1.51,10.560,10.470,9.486,9.163
EPIC 206169157,EPIC 206169157.01,,CANDIDATE,,3,1,22h27m51.35s,336.963959,-10d20m12.4s,-10.336791,,2457005.436320,0.2330000,,0.04020,7.720,,,,1.76,10.374,10.513,9.701,9.451
EPIC 212772313,EPIC 212772313.01,,CANDIDATE,,6,1,13h29m53.78s,202.474075,-06d21m03.2s,-6.350882,37.36197300,2457226.373960,,19.870685,0.02252,2.744,,5675.00,4.25,1.12,10.471,10.702,9.402,8.981
EPIC 204991696,EPIC 204991696.01,,CANDIDATE,,2,1,16h10m17.37s,242.572388,-19d55m33.5s,-19.925976,49.85580000,2456901.923000,0.2930000,49.600000,0.02222,3.290,,,,1.36,10.526,10.711,9.244,8.849
EPIC 212099230,EPIC 212099230.01,,CANDIDATE,,5,1,08h32m17.66s,128.073578,+22d00m21.6s,22.006010,7.11213400,2458102.137030,0.1046000,,,2.700,,5800.00,4.41,1.04,10.513,10.794,9.343,8.873
EPIC 212099230,EPIC 212099230.01,,CANDIDATE,,5,0,08h32m17.66s,128.073578,+22d00m21.6s,22.006010,7.11227300,2457149.072880,0.1304000,,0.03020,3.200,,,,0.96,10.513,10.794,9.343,8.873
EPIC 217855533,EPIC 217855533.01,,CANDIDATE,,7,1,19h20m12.44s,290.051819,-19d50m35.2s,-19.843121,21.58732600,2457320.384520,,31.277472,0.01113,1.781,,6244.00,4.11,1.47,10.043,10.838,,
EPIC 220173278,EPIC 220173278.01,,CANDIDATE,,8,1,01h12m58.79s,18.244963,-01d03m38.5s,-1.060686,8.03216000,2457396.550000,0.2420000,9.100000,0.01198,2.420,,,,1.85,10.750,10.857,9.802,9.431
EPIC 212833814,EPIC 212833814.01,,CANDIDATE,,6,1,13h41m08.21s,205.284195,-04d26m14.5s,-4.437356,27.79850000,2457236.125600,0.4850000,16.300000,0.01524,2.470,,,,1.48,10.724,10.892,9.698,9.335
EPIC 212036875,EPIC 212036875.01,,CANDIDATE,,16,1,08h58m45.67s,134.690277,+20d52m08.7s,20.869091,5.16988700,2458098.679290,0.0646000,,,9.100,,6830.00,4.26,1.45,10.937,10.950,10.042,9.774
EPIC 201166680,EPIC 201166680.01,,CANDIDATE,,10,1,12h04m29.14s,181.121399,-04d53m57.1s,-4.899185,18.10549000,2457598.193300,,26.263676,0.01572,2.100,,6213.00,4.32,1.22,10.897,10.970,9.852,9.591
EPIC 212703473,EPIC 212703473.01,,CANDIDATE,,6,0,13h24m56.77s,201.236542,-08d10m18.3s,-8.171739,6.78834400,2457222.733450,0.1154000,,0.01330,1.600,,,,1.11,10.729,10.973,9.694,9.307
EPIC 212703473,EPIC 212703473.02,,CANDIDATE,,6,0,13h24m56.77s,201.236542,-08d10m18.3s,-8.171739,18.51731900,2457221.164250,,43.099679,0.01744,1.862,,5758.00,4.46,0.98,10.729,10.973,9.694,9.307
EPIC 212703473,EPIC 212703473.01,,CANDIDATE,,6,0,13h24m56.77s,201.236542,-08d10m18.3s,-8.171739,6.78907600,2457222.725470,,16.102046,0.01507,1.608,,5758.00,4.46,0.98,10.729,10.973,9.694,9.307
EPIC 212703473,EPIC 212703473.02,,CANDIDATE,,6,1,13h24m56.77s,201.236542,-08d10m18.3s,-8.171739,18.51590000,2457221.169200,0.1170000,44.900000,0.01712,3.300,,,,1.76,10.729,10.973,9.694,9.307
EPIC 212703473,EPIC 212703473.01,,CANDIDATE,,6,1,13h24m56.77s,201.236542,-08d10m18.3s,-8.171739,6.78882000,2457222.728800,0.1222000,15.800000,0.01436,2.800,,,,1.76,10.729,10.973,9.694,9.307
EPIC 228801451,EPIC 228801451.03,K2-229 d,CANDIDATE,,10,1,12h27m29.58s,186.873260,-06d43m18.7s,-6.721861,31.00000000,,,,,2.650,522,5185.00,4.56,0.79,10.955,10.985,9.518,9.050
EPIC 201626686,EPIC 201626686.01,,CANDIDATE,,1,0,11h17m47.30s,169.447098,+02d27m21.6s,2.456006,5.28081000,2456812.353900,0.1362100,,0.03280,10.900,,6227.00,3.68,3.01,11.471,11.083,10.501,10.230
EPIC 204529573,EPIC 204529573.01,,CANDIDATE,,2,1,16h33m34.69s,248.394531,-21d57m54.5s,-21.965147,2.75180000,2456896.391500,0.0520000,14.500000,0.00948,0.669,,,,0.65,10.595,11.110,9.018,8.337
EPIC 206114630,EPIC 206114630.01,,CANDIDATE,,3,1,22h01m19.33s,330.330536,-11d43m27.4s,-11.724275,7.44502600,2456985.389580,,54.673344,0.02534,2.281,,5277.00,4.65,0.83,11.032,11.115,9.675,9.075
EPIC 206114630,EPIC 206114630.01,,CANDIDATE,,3,0,22h01m19.33s,330.330536,-11d43m27.4s,-11.724275,7.44487540,2456985.390000,0.0429167,,0.03097,2.110,,5132.00,,0.78,11.032,11.115,9.675,9.075
EPIC 251319382,EPIC 251319382.01,,CANDIDATE,,16,1,09h21m46.84s,140.445175,+18d28m10.2s,18.469511,8.23648600,2458098.714190,0.1293000,,,2.000,,5930.00,4.50,0.92,11.116,11.125,10.044,9.691
EPIC 251319382,EPIC 251319382.02,,CANDIDATE,,16,1,09h21m46.84s,140.445175,+18d28m10.2s,18.469511,14.86994300,2458103.609500,0.1193000,,,4.400,,5930.00,4.50,0.92,11.116,11.125,10.044,9.691
EPIC 220573228,EPIC 220573228.01,,CANDIDATE,,8,1,01h05m06.47s,16.276945,+08d26m40.8s,8.444664,57.10412000,2457409.842800,0.2154000,82.600000,0.05290,5.610,,,,0.97,11.057,11.192,10.088,9.726
EPIC 220573228,EPIC 220573228.02,,CANDIDATE,,8,1,01h05m06.47s,16.276945,+08d26m40.8s,8.444664,20.21535000,2457392.524100,0.1420000,41.200000,0.02460,2.610,,,,0.97,11.057,11.192,10.088,9.726
EPIC 203753577,EPIC 203753577.01,,CANDIDATE,,2,1,16h51m26.84s,252.861847,-25d03m12.3s,-25.053404,3.40085800,2456895.092840,0.0950000,5.530000,0.13200,14.100,,,,0.98,11.106,11.200,9.811,9.477
EPIC 203753577,EPIC 203753577.01,,CANDIDATE,,2,0,16h51m26.84s,252.861847,-25d03m12.3s,-25.053404,3.40077580,2456895.094000,0.0954167,,0.06863,5.570,,5520.00,,0.89,11.106,11.200,9.811,9.477
EPIC 205939498,EPIC 205939498.01,,CANDIDATE,,3,1,22h38m20.35s,339.584778,-16d43m19.2s,-16.722006,1.17614770,2456977.442400,0.0544000,2.870000,0.07400,19.300,,,,2.38,11.137,11.206,10.313,9.997
EPIC 218901589,EPIC 218901589.01,,CANDIDATE,,7,1,19h04m19.58s,286.081604,-17d56m19.6s,-17.938782,1.65822300,2457303.130300,0.1210000,4.120000,0.00867,0.867,,,,0.92,11.084,11.211,9.708,9.101
EPIC 203099398,EPIC 203099398.01,,CANDIDATE,,2,1,16h15m15.13s,243.813049,-27d15m42.0s,-27.261663,1.83916000,2456896.011200,0.0628000,8.300000,0.01194,0.620,,,,0.48,10.634,11.238,8.425,7.637
EPIC 203099398,EPIC 203099398.01,,CANDIDATE,,2,0,16h15m15.13s,243.813049,-27d15m42.0s,-27.261663,1.83893490,2456896.018000,0.0595833,,0.01201,0.837,,3930.00,,0.58,10.634,11.238,8.425,7.637
EPIC 205947161,EPIC 205947161.01,,CANDIDATE,,3,0,22h43m50.32s,340.959686,-16d27m44.8s,-16.462458,17.72583700,2456989.194000,0.0675000,,0.06395,6.630,,5971.00,,1.11,11.160,11.274,10.184,9.864
EPIC 205947161,EPIC 205947161.01,,CANDIDATE,,3,1,22h43m50.32s,340.959686,-16d27m44.8s,-16.462458,17.72590000,2456989.193450,0.0730000,37.100000,0.12300,23.400,,,,1.75,11.160,11.274,10.184,9.864
EPIC 203771098,EPIC 203771098.03,,CANDIDATE,,2,1,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332,,2456915.624270,0.2727000,,0.05510,7.510,,,,1.25,11.648,11.275,9.635,9.180
EPIC 211502222,EPIC 211502222.01,,CANDIDATE,,16,1,08h50m57.02s,132.737579,+13d10m13.3s,13.170355,22.99592000,2458113.304250,0.1550000,,,2.500,,6010.00,4.43,1.04,11.617,11.305,10.159,9.804
EPIC 210550063,EPIC 210550063.01,,CANDIDATE,,4,1,04h04m31.66s,61.131908,+16d13m00.1s,16.216694,2.16597600,2457062.819320,0.0636000,9.400000,0.02170,2.610,,,,1.10,11.147,11.332,10.015,9.626
EPIC 212058012,EPIC 212058012.01,,CANDIDATE,,16,1,08h52m29.21s,133.121704,+21d14m20.4s,21.238987,11.56151400,2458099.107080,0.1281000,,,2.400,,6140.00,4.25,1.41,11.018,11.337,10.084,9.710
EPIC 204750116,EPIC 204750116.01,,CANDIDATE,,2,0,15h55m16.74s,238.819733,-21d01m36.6s,-21.026836,23.44687300,2456898.835860,,27.922818,0.02691,2.897,,5869.00,4.53,0.99,11.526,11.373,10.109,9.623
EPIC 204750116,EPIC 204750116.01,,CANDIDATE,,2,1,15h55m16.74s,238.819733,-21d01m36.6s,-21.026836,23.44701000,2456898.836500,0.2380000,29.000000,0.02666,3.240,,,,1.11,11.526,11.373,10.109,9.623
EPIC 204750116,EPIC 204750116.01,,CANDIDATE,,2,0,15h55m16.74s,238.819733,-21d01m36.6s,-21.026836,23.44650100,2456898.838000,0.2412500,,0.02578,2.710,,5484.00,,0.87,11.526,11.373,10.109,9.623
EPIC 204750116,EPIC 204750116.02,,CANDIDATE,,2,1,15h55m16.74s,238.819733,-21d01m36.6s,-21.026836,7.83920000,2456897.067000,0.1460000,14.900000,0.01204,1.460,,,,1.11,11.526,11.373,10.109,9.623
EPIC 205470347,EPIC 205470347.01,,CANDIDATE,,2,1,16h11m41.61s,242.923370,-17d22m34.6s,-17.376270,1.86732000,2456895.438600,0.0690000,7.400000,0.00857,0.648,,,,0.69,11.330,11.377,9.932,9.337
EPIC 201164625,EPIC 201164625.01,,CANDIDATE,,10,1,12h06m22.48s,181.593658,-04d56m48.1s,-4.946688,2.71189000,2457583.136200,0.1292000,5.500000,0.01210,4.340,2336,,,,11.919,11.461,11.002,10.777
EPIC 220315508,EPIC 220315508.01,,CANDIDATE,,8,1,01h15m19.48s,18.831154,+02d57m53.1s,2.964757,6.55340000,2457395.077100,0.1050000,17.600000,0.01331,1.110,,,,0.77,11.164,11.472,9.915,9.405
EPIC 206029242,EPIC 206029242.01,,CANDIDATE,,3,1,22h02m33.79s,330.640778,-13d59m07.0s,-13.985285,5.65050000,2456980.358000,0.1100000,14.200000,0.01210,1.330,,,,1.01,11.896,11.475,10.856,10.409
EPIC 219480273,EPIC 219480273.01,,CANDIDATE,,7,1,19h12m40.74s,288.169739,-16d38m49.1s,-16.646969,26.48370000,2457306.959200,0.2520000,29.400000,0.01320,1.980,,,,1.38,11.208,11.483,10.204,9.863
EPIC 201516974,EPIC 201516974.01,,CANDIDATE,,1,0,11h37m15.48s,174.314484,+00d46m59.3s,0.783149,36.76233700,2456819.743000,0.7804167,,0.03712,3.440,,4932.00,,0.75,11.238,11.497,9.817,9.270
EPIC 201779067,EPIC 201779067.01,,CANDIDATE,,1,0,11h14m10.25s,168.542694,+04d59m17.3s,4.988131,27.24291200,2456820.260000,0.2733333,,0.23670,18.800,,5547.00,,0.90,11.119,11.505,10.129,9.802
EPIC 218711655,EPIC 218711655.01,,CANDIDATE,,7,1,19h01m54.52s,285.477173,-18d17m54.1s,-18.298365,1.15756300,2457311.852850,0.0000000,,0.07770,12.300,,,,1.46,11.334,11.520,10.149,9.853
EPIC 211939692,EPIC 211939692.01,,CANDIDATE,,5,1,08h33m36.44s,128.401840,+19d19m12.9s,19.320250,,2457170.523100,0.4138000,,0.03051,4.310,,,,1.29,11.750,11.529,10.872,10.601
EPIC 211939692,EPIC 211939692.03,,CANDIDATE,,5,1,08h33m36.44s,128.401840,+19d19m12.9s,19.320250,,2457191.890600,0.5290000,,0.02308,3.260,,,,1.29,11.750,11.529,10.872,10.601
EPIC 211939692,EPIC 211939692.04,,CANDIDATE,,5,1,08h33m36.44s,128.401840,+19d19m12.9s,19.320250,26.86620000,2457166.045000,0.3550000,21.800000,0.02090,2.950,,,,1.29,11.750,11.529,10.872,10.601
EPIC 211939692,EPIC 211939692.02,,CANDIDATE,,5,1,08h33m36.44s,128.401840,+19d19m12.9s,19.320250,39.54380000,2457173.989200,0.3330000,19.500000,0.02330,3.280,,,,1.29,11.750,11.529,10.872,10.601
EPIC 211647930,EPIC 211647930.01,,CANDIDATE,,16,1,09h07m09.45s,136.789383,+15d12m20.5s,15.205698,14.75959500,2458097.393240,0.1712000,,,5.300,,6070.00,4.32,1.19,11.982,11.561,10.941,10.596
EPIC 201892470,EPIC 201892470.01,,CANDIDATE,,1,1,11h23m59.31s,170.997116,+07d09m53.9s,7.164978,2790.00000000,2456889.110000,,,0.12100,12.200,,5100.00,,0.93,11.587,11.568,10.322,9.890
EPIC 206031623,EPIC 206031623.01,,CANDIDATE,,3,1,22h38m22.85s,339.595215,-13d55m10.5s,-13.919572,9.94870000,2456986.359200,0.1520000,18.200000,0.01191,1.480,,,,1.14,11.822,11.577,10.799,10.512
EPIC 206543223,EPIC 206543223.01,,CANDIDATE,,3,0,22h24m02.68s,336.011169,-03d57m15.8s,-3.954390,17.81286600,2456988.772000,0.1316667,,0.25680,22.500,,5613.00,,0.92,11.487,11.587,10.380,9.933
EPIC 206543223,EPIC 206543223.01,,CANDIDATE,,3,0,22h24m02.68s,336.011169,-03d57m15.8s,-3.954390,17.81188000,2456988.775400,0.1300000,,0.21200,21.600,,5554.00,4.49,0.93,11.487,11.587,10.380,9.933
EPIC 211087003,EPIC 211087003.01,,CANDIDATE,,4,1,03h57m19.49s,59.331207,+24d21m33.2s,24.359209,,2457084.107190,0.2830000,,0.08240,8.700,,,,0.96,11.645,11.610,10.596,10.227
EPIC 211087003,EPIC 211087003.02,,CANDIDATE,,4,1,03h57m19.49s,59.331207,+24d21m33.2s,24.359209,28.29213000,2457064.158200,0.1860000,46.500000,0.03380,3.550,,,,0.96,11.645,11.610,10.596,10.227
EPIC 206439513,EPIC 206439513.01,,CANDIDATE,,3,0,22h31m24.84s,337.853516,-05d58m40.7s,-5.977968,18.40611800,2456992.866000,0.5016667,,0.02417,5.200,,6684.00,,1.84,11.437,11.618,10.888,10.621
EPIC 214419545,EPIC 214419545.01,,CANDIDATE,,7,1,18h53m44.31s,283.434631,-26d32m19.0s,-26.538601,9.40172000,2457302.934300,0.0880000,30.200000,0.01600,1.960,,,,1.13,11.458,11.650,10.120,9.681
EPIC 201257461,EPIC 201257461.01,,CANDIDATE,,1,1,11h52m38.66s,178.161102,-03d05m41.8s,-3.094936,50.28586900,2456828.355000,0.5258333,,0.05345,3.470,,4859.00,,0.74,11.511,11.668,9.994,9.368
EPIC 201324549,EPIC 201324549.01,,CANDIDATE,,1,0,11h24m56.62s,171.235916,-02d05m06.6s,-2.085164,2.51940780,2456812.512000,0.0516667,,0.04461,7.990,,7119.00,,1.72,12.146,11.669,11.236,10.890
EPIC 201324549,EPIC 201324549.01,,CANDIDATE,,1,1,11h24m56.62s,171.235916,-02d05m06.6s,-2.085164,2.51938600,2456812.512110,0.0660000,5.220000,0.08900,19.600,,,,2.03,12.146,11.669,11.236,10.890
EPIC 201828749,EPIC 201828749.01,,CANDIDATE,,1,0,11h42m37.04s,175.654343,+05d53m39.6s,5.894323,33.51539900,2456813.152000,0.2004167,,0.02561,2.030,,4222.00,,0.65,11.564,11.681,10.494,9.933
EPIC 201828749,EPIC 201828749.01,,CANDIDATE,,1,1,11h42m37.04s,175.654343,+05d53m39.6s,5.894323,33.51160000,2456813.152000,0.2230000,21.300000,0.03020,2.890,,,,0.88,11.564,11.681,10.494,9.933
EPIC 201828749,EPIC 201828749.01,,CANDIDATE,,1,0,11h42m37.04s,175.654343,+05d53m39.6s,5.894323,33.51070000,2456813.158200,0.2204000,,0.02173,2.140,,5683.00,4.50,0.90,11.564,11.681,10.494,9.933
EPIC 201828749,EPIC 201828749.01,,CANDIDATE,,1,0,11h42m37.04s,175.654343,+05d53m39.6s,5.894323,33.51360700,2456813.154380,,45.335921,0.02644,2.473,,5628.00,4.57,0.86,11.564,11.681,10.494,9.933
EPIC 201828749,EPIC 201828749.01,,CANDIDATE,,1,0,11h42m37.04s,175.654343,+05d53m39.6s,5.894323,33.51569000,2456813.150400,,67.090000,,3.830,613,5552.00,,0.71,11.564,11.681,10.494,9.933
EPIC 229133720,EPIC 229133720.01,,CANDIDATE,,10,0,12h28m32.37s,187.134857,+01d36m49.1s,1.613639,4.03679100,2457583.964480,,11.177490,0.02943,2.338,,4933.00,4.65,0.73,11.477,11.689,9.930,9.362
EPIC 229133720,EPIC 229133720.01,,CANDIDATE,,10,1,12h28m32.37s,187.134857,+01d36m49.1s,1.613639,4.03692000,2457583.963400,0.0625000,13.400000,0.02850,2.240,870,,,,11.477,11.689,9.930,9.362
EPIC 212041476,EPIC 212041476.01,,CANDIDATE,,16,1,08h58m31.90s,134.632935,+20d57m04.5s,20.951260,2.78370500,2458095.558310,0.0530000,,,2.400,,5890.00,4.49,0.94,12.078,11.717,11.007,10.626
EPIC 201111557,EPIC 201111557.01,,CANDIDATE,,10,1,12h15m23.17s,183.846542,-06d16m05.7s,-6.268236,2.30183000,2457583.168800,0.0792000,11.800000,0.01440,1.120,1054,,,,11.363,11.728,9.873,9.220
EPIC 201111557,EPIC 201111557.01,,CANDIDATE,,10,0,12h15m23.17s,183.846542,-06d16m05.7s,-6.268236,2.30236800,2457583.162060,,12.619867,0.01692,1.313,,4720.00,4.50,0.71,11.363,11.728,9.873,9.220
EPIC 210775710,EPIC 210775710.01,,CANDIDATE,,4,0,03h37m05.82s,54.274246,+19d29m58.6s,19.499622,59.84856600,2457064.697280,,114.695231,0.10082,10.814,,5738.00,4.40,0.98,11.827,11.758,10.631,10.208
EPIC 210775710,EPIC 210775710.01,,CANDIDATE,,4,1,03h37m05.82s,54.274246,+19d29m58.6s,19.499622,59.84871000,2457064.697160,0.1785000,108.100000,0.10310,12.000,,,,1.07,11.827,11.758,10.631,10.208
EPIC 201127519,EPIC 201127519.01,,CANDIDATE,,10,1,12h05m29.30s,181.372070,-05d50m53.1s,-5.848084,6.17887000,2457585.547300,0.1042000,18.100000,0.10580,8.840,772,,,,11.558,11.775,10.014,9.430
EPIC 201127519,EPIC 201127519.01,,CANDIDATE,,10,0,12h05m29.30s,181.372070,-05d50m53.1s,-5.848084,6.17836900,2457585.551310,,17.277258,0.11511,9.913,,5015.00,4.67,0.79,11.558,11.775,10.014,9.430
EPIC 228729473,EPIC 228729473.01,,CANDIDATE,,10,0,12h26m08.28s,186.534515,-09d53m24.8s,-9.890216,16.77055600,2457585.771300,,7.840532,0.04220,13.240,,4939.00,3.54,2.88,11.524,11.785,10.048,9.384
EPIC 213919434,EPIC 213919434.01,,CANDIDATE,,7,1,18h54m14.84s,283.561829,-27d53m09.4s,-27.885939,6.79867000,2457307.752500,0.1150000,10.800000,0.02540,4.400,,,,1.60,11.893,11.786,11.027,10.841
EPIC 206146957,EPIC 206146957.01,,CANDIDATE,,3,1,21h58m54.26s,329.726074,-10d52m30.3s,-10.875070,5.76218000,2456979.868800,0.0930000,17.300000,0.01285,1.217,,,,0.87,11.379,11.789,10.357,9.934
EPIC 206146957,EPIC 206146957.01,,CANDIDATE,,3,0,21h58m54.26s,329.726074,-10d52m30.3s,-10.875070,5.76192480,2456979.866000,0.0916667,,0.01357,1.370,,5350.00,,0.83,11.379,11.789,10.357,9.934
EPIC 206146957,EPIC 206146957.01,,CANDIDATE,,3,0,21h58m54.26s,329.726074,-10d52m30.3s,-10.875070,5.76135900,2456979.869850,,16.920189,0.01396,1.373,,5744.00,4.57,0.90,11.379,11.789,10.357,9.934
EPIC 204057095,EPIC 204057095.01,,CANDIDATE,,2,1,16h11m00.76s,242.753174,-23d50m25.3s,-23.840353,23.21037000,2456913.627340,0.1017000,37.600000,0.11600,15.300,,,,1.21,11.583,11.790,10.288,9.847
